,id_name,division_name,years,month,temp
0,0,Barisal,1901,1,16
1,0,Barisal,1901,2,19
2,0,Barisal,1901,3,24
3,0,Barisal,1901,4,28
4,0,Barisal,1901,5,27
5,0,Barisal,1901,6,28
6,0,Barisal,1901,7,28
7,0,Barisal,1901,8,27
8,0,Barisal,1901,9,27
9,0,Barisal,1901,10,27
10,0,Barisal,1901,11,22
11,0,Barisal,1901,12,18
12,0,Barisal,1902,1,18
13,0,Barisal,1902,2,20
14,0,Barisal,1902,3,25
15,0,Barisal,1902,4,26
16,0,Barisal,1902,5,27
17,0,Barisal,1902,6,28
18,0,Barisal,1902,7,27
19,0,Barisal,1902,8,28
20,0,Barisal,1902,9,27
21,0,Barisal,1902,10,26
22,0,Barisal,1902,11,21
23,0,Barisal,1902,12,18
24,0,Barisal,1903,1,17
25,0,Barisal,1903,2,19
26,0,Barisal,1903,3,24
27,0,Barisal,1903,4,28
28,0,Barisal,1903,5,28
29,0,Barisal,1903,6,27
30,0,Barisal,1903,7,28
31,0,Barisal,1903,8,27
32,0,Barisal,1903,9,27
33,0,Barisal,1903,10,26
34,0,Barisal,1903,11,22
35,0,Barisal,1903,12,18
36,0,Barisal,1904,1,17
37,0,Barisal,1904,2,19
38,0,Barisal,1904,3,25
39,0,Barisal,1904,4,27
40,0,Barisal,1904,5,27
41,0,Barisal,1904,6,27
42,0,Barisal,1904,7,27
43,0,Barisal,1904,8,27
44,0,Barisal,1904,9,27
45,0,Barisal,1904,10,26
46,0,Barisal,1904,11,22
47,0,Barisal,1904,12,18
48,0,Barisal,1905,1,17
49,0,Barisal,1905,2,17
50,0,Barisal,1905,3,22
51,0,Barisal,1905,4,25
52,0,Barisal,1905,5,27
53,0,Barisal,1905,6,29
54,0,Barisal,1905,7,27
55,0,Barisal,1905,8,27
56,0,Barisal,1905,9,27
57,0,Barisal,1905,10,26
58,0,Barisal,1905,11,22
59,0,Barisal,1905,12,18
60,0,Barisal,1906,1,17
61,0,Barisal,1906,2,19
62,0,Barisal,1906,3,23
63,0,Barisal,1906,4,27
64,0,Barisal,1906,5,28
65,0,Barisal,1906,6,28
66,0,Barisal,1906,7,28
67,0,Barisal,1906,8,27
68,0,Barisal,1906,9,28
69,0,Barisal,1906,10,26
70,0,Barisal,1906,11,22
71,0,Barisal,1906,12,19
72,0,Barisal,1907,1,19
73,0,Barisal,1907,2,19
74,0,Barisal,1907,3,23
75,0,Barisal,1907,4,26
76,0,Barisal,1907,5,27
77,0,Barisal,1907,6,27
78,0,Barisal,1907,7,27
79,0,Barisal,1907,8,28
80,0,Barisal,1907,9,27
81,0,Barisal,1907,10,26
82,0,Barisal,1907,11,22
83,0,Barisal,1907,12,18
84,0,Barisal,1908,1,17
85,0,Barisal,1908,2,20
86,0,Barisal,1908,3,25
87,0,Barisal,1908,4,29
88,0,Barisal,1908,5,28
89,0,Barisal,1908,6,28
90,0,Barisal,1908,7,27
91,0,Barisal,1908,8,28
92,0,Barisal,1908,9,28
93,0,Barisal,1908,10,26
94,0,Barisal,1908,11,22
95,0,Barisal,1908,12,18
96,0,Barisal,1909,1,18
97,0,Barisal,1909,2,20
98,0,Barisal,1909,3,25
99,0,Barisal,1909,4,26
100,0,Barisal,1909,5,27
101,0,Barisal,1909,6,27
102,0,Barisal,1909,7,28
103,0,Barisal,1909,8,27
104,0,Barisal,1909,9,28
105,0,Barisal,1909,10,26
106,0,Barisal,1909,11,23
107,0,Barisal,1909,12,19
108,0,Barisal,1910,1,17
109,0,Barisal,1910,2,19
110,0,Barisal,1910,3,24
111,0,Barisal,1910,4,26
112,0,Barisal,1910,5,27
113,0,Barisal,1910,6,27
114,0,Barisal,1910,7,27
115,0,Barisal,1910,8,27
116,0,Barisal,1910,9,28
117,0,Barisal,1910,10,26
118,0,Barisal,1910,11,22
119,0,Barisal,1910,12,18
120,0,Barisal,1911,1,19
121,0,Barisal,1911,2,19
122,0,Barisal,1911,3,23
123,0,Barisal,1911,4,26
124,0,Barisal,1911,5,27
125,0,Barisal,1911,6,27
126,0,Barisal,1911,7,28
127,0,Barisal,1911,8,27
128,0,Barisal,1911,9,27
129,0,Barisal,1911,10,26
130,0,Barisal,1911,11,22
131,0,Barisal,1911,12,17
132,0,Barisal,1912,1,18
133,0,Barisal,1912,2,20
134,0,Barisal,1912,3,24
135,0,Barisal,1912,4,26
136,0,Barisal,1912,5,27
137,0,Barisal,1912,6,28
138,0,Barisal,1912,7,27
139,0,Barisal,1912,8,27
140,0,Barisal,1912,9,27
141,0,Barisal,1912,10,26
142,0,Barisal,1912,11,22
143,0,Barisal,1912,12,18
144,0,Barisal,1913,1,18
145,0,Barisal,1913,2,20
146,0,Barisal,1913,3,23
147,0,Barisal,1913,4,27
148,0,Barisal,1913,5,27
149,0,Barisal,1913,6,26
150,0,Barisal,1913,7,28
151,0,Barisal,1913,8,27
152,0,Barisal,1913,9,27
153,0,Barisal,1913,10,26
154,0,Barisal,1913,11,21
155,0,Barisal,1913,12,18
156,0,Barisal,1914,1,17
157,0,Barisal,1914,2,20
158,0,Barisal,1914,3,24
159,0,Barisal,1914,4,25
160,0,Barisal,1914,5,27
